Pos,ID,Name,BV,SV,Team,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts
G,1,Raya,5.5,5.5,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,4.13,3.33,3.25,4.28,3.72,4.16,4.14,4.16,3.97,3.14,4.16,3.37
G,2,Arrizabalaga,4.4,4.4,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04
G,3,Hein,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.1,6.1,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,4.59,3.52,3.67,4.91,4.22,4.62,4.91,4.84,4.20,3.52,4.79,3.98
D,6,Saliba,6.1,6.1,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,4.45,3.41,3.60,4.66,4.11,4.42,4.68,4.59,3.94,3.31,4.48,3.76
D,7,Calafiori,5.6,5.6,Arsenal,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,3.66,2.80,2.94,3.87,3.32,3.65,3.85,3.83,3.40,2.75,3.82,3.08
D,8,J.Timber,5.6,5.6,Arsenal,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,2.65,2.02,2.09,2.82,2.40,2.62,2.78,2.77,2.45,1.98,2.76,2.25
D,9,Kiwior,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,10,Lewis-Skelly,5.4,5.4,Arsenal,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,0.85,0.71,0.72,0.88,0.78,0.83,0.87,0.87,0.81,0.70,0.88,0.76
D,11,White,5.4,5.4,Arsenal,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,37.80,1.98,1.57,1.60,2.10,1.79,1.96,2.05,2.05,1.84,1.55,2.05,1.70
D,12,Zinchenko,4.9,4.9,Nott'm Forest,19.05,25.20,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,0.61,1.11,1.63,1.17,1.23,1.24,1.31,1.51,0.97,1.31,1.41,1.33
D,13,Clarke,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,14,Kacurri,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.9,9.9,Arsenal,5.70,42.75,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,79.65,0.42,2.73,5.03,6.42,5.27,5.85,6.04,6.09,5.73,4.69,6.32,5.16
M,17,Ødegaard,7.9,7.9,Arsenal,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,4.65,4.10,4.03,4.93,4.26,4.53,4.65,4.71,4.60,3.98,4.96,4.07
M,18,Madueke,7.0,7.0,Arsenal,71.25,59.85,45.60,45.60,45.60,45.60,45.60,45.60,45.60,45.60,45.60,45.60,4.58,3.35,2.48,3.20,2.65,2.95,3.01,3.01,2.89,2.45,3.15,2.60
M,19,Martinelli,6.9,6.9,Arsenal,50.40,41.55,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,3.23,2.35,1.96,2.45,2.10,2.25,2.34,2.36,2.26,1.92,2.46,2.05
M,20,Trossard,6.9,6.9,Arsenal,33.30,30.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,2.20,1.78,1.56,1.97,1.67,1.81,1.83,1.87,1.85,1.54,1.97,1.65
M,21,Rice,6.5,6.5,Arsenal,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,4.69,4.27,4.34,4.92,4.34,4.67,4.63,4.62,4.71,4.24,4.92,4.17
M,22,Merino,5.9,5.9,Arsenal,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,1.45,1.29,1.27,1.52,1.32,1.41,1.46,1.44,1.44,1.25,1.50,1.31
M,23,Fábio Vieira,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.4,5.4,Arsenal,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,0.36,0.34,0.34,0.37,0.35,0.36,0.36,0.36,0.37,0.34,0.37,0.34
M,25,Nwaneri,5.4,5.4,Arsenal,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1.09,0.98,0.94,1.15,1.01,1.08,1.11,1.12,1.08,0.94,1.16,1.00
M,26,Zubimendi,5.5,5.5,Arsenal,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,3.55,3.34,3.43,3.75,3.36,3.48,3.57,3.51,3.61,3.39,3.64,3.35
M,27,Nelson,4.9,4.9,Brentford,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,0.00,22.65,0.97,1.04,1.04,0.95,1.06,0.94,1.00,1.01,0.97,1.19,0.00,0.99
M,28,Kabia,4.5,4.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,29,Sambi,4.5,4.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,30,Havertz,7.4,7.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,31,G.Jesus,6.5,6.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.0,5.0,Aston Villa,58.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,1.80,3.16,3.17,3.69,2.51,2.36,1.78,3.01,2.88,3.38,2.33,2.42
G,33,M.Bizot,4.5,4.5,Aston Villa,31.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,0.99,0.17,0.16,0.19,0.13,0.13,0.11,0.15,0.16,0.17,0.13,0.13
G,34,Gauci,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,35,Marschall,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,36,Cash,4.5,4.5,Aston Villa,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,3.26,3.74,3.65,4.34,2.93,2.69,2.30,3.48,3.49,4.05,2.90,2.81
D,37,Digne,4.5,4.5,Aston Villa,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,54.45,2.39,2.91,2.72,3.23,2.13,1.95,1.67,2.57,2.58,2.97,2.11,2.04
D,38,Konsa,4.5,4.5,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,3.11,3.58,3.43,4.08,2.58,2.47,2.00,3.25,3.29,3.80,2.65,2.52
D,39,Maatsen,4.4,4.4,Aston Villa,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,45.30,1.81,2.11,2.03,2.39,1.66,1.57,1.33,1.96,1.96,2.22,1.63,1.60
D,40,Mings,4.5,4.5,Aston Villa,70.50,70.50,70.50,70.50,70.50,70.50,70.50,70.50,70.50,70.50,70.50,70.50,2.90,3.22,3.11,3.64,2.41,2.30,1.96,3.01,3.04,3.48,2.46,2.31
D,41,Pau,4.5,4.5,Aston Villa,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,0.89,0.99,0.96,1.09,0.79,0.77,0.67,0.93,0.93,1.04,0.79,0.77
D,42,A.García,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,43,Alex Moreno,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,0.36,0.38,0.37,0.41,0.33,0.33,0.31,0.37,0.36,0.40,0.33,0.32
D,45,Sousa,4.0,4.0,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
D,46,Yasin,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,47,Rogers,7.0,7.0,Aston Villa,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,3.60,4.22,4.24,4.79,3.73,3.55,3.30,4.25,4.06,4.52,3.71,3.29
M,48,Tielemans,5.9,5.9,Aston Villa,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,84.30,4.08,4.26,4.25,4.65,4.21,3.75,3.67,4.30,4.18,4.58,3.98,3.75
M,49,Bailey,5.5,5.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,50,Buendía,5.3,5.3,Aston Villa,20.70,20.70,20.70,20.70,20.70,20.70,20.70,20.70,20.70,20.70,20.70,20.70,1.03,1.15,1.15,1.27,1.05,1.00,0.96,1.15,1.13,1.22,1.04,0.95
M,51,Iling Jr,5.5,5.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,52,J.Ramsey,5.5,5.5,Newcastle,31.50,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,1.82,1.72,1.62,1.90,1.76,1.93,1.91,1.91,1.71,1.75,1.91,2.15
M,53,Malen,5.3,5.3,Aston Villa,39.60,39.60,39.60,39.60,39.60,39.60,48.00,39.60,39.60,39.60,39.60,39.60,2.11,2.44,2.42,2.73,2.17,2.08,2.32,2.43,2.34,2.56,2.15,1.94
M,54,McGinn,5.5,5.5,Aston Villa,61.95,53.10,53.10,53.10,53.10,53.10,61.95,53.10,53.10,53.10,53.10,53.10,2.47,2.42,2.41,2.68,2.20,2.10,2.30,2.45,2.35,2.55,2.18,2.02
M,55,Barkley,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,56,Barrenechea,5.0,5.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,57,Dobbin,5.0,5.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,58,Kamara,4.9,4.9,Aston Villa,47.40,63.30,63.30,63.30,63.30,63.30,63.30,63.30,63.30,63.30,63.30,63.30,1.74,2.34,2.32,2.38,2.35,2.16,2.15,2.35,2.34,2.43,2.24,2.16
M,59,Onana,5.0,5.0,Aston Villa,25.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.95,1.05,1.48,1.46,1.57,1.44,1.36,1.33,1.48,1.46,1.57,1.41,1.33
M,60,Broggio,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01
M,61,Dendoncker,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,63,Young,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01
F,64,Watkins,8.9,8.9,Aston Villa,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,4.17,4.99,4.92,5.60,4.41,4.27,3.91,5.00,4.77,5.33,4.32,3.85
F,65,Redmond,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,66,Neto,4.5,4.5,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.20,3.18,3.22,3.57,3.22,3.40,2.20,2.63,3.81,3.55,3.54,2.95
G,68,Dennis,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03
G,69,McKenna,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,70,Paulsen,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,71,Zabarnyi,5.0,5.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,4.6,4.6,Bournemouth,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,3.65,3.49,3.73,4.01,3.52,3.82,2.51,3.22,4.34,4.25,4.15,3.12
D,73,Smith,4.5,4.5,Bournemouth,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,0.82,0.83,0.86,0.87,0.81,0.86,0.66,0.77,0.90,0.89,0.89,0.77
D,74,Truffert,4.5,4.5,Bournemouth,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,3.21,3.24,3.42,3.57,3.09,3.50,2.00,2.77,3.97,3.86,3.67,2.84
D,75,Akinmboni,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.0,4.0,Bournemouth,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,0.33,0.33,0.34,0.34,0.32,0.34,0.27,0.30,0.36,0.36,0.35,0.31
D,78,J.Araujo,4.0,4.0,Bournemouth,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,0.67,0.67,0.68,0.70,0.65,0.69,0.54,0.62,0.73,0.73,0.70,0.63
D,79,Mepham,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,80,Soler,4.0,4.0,Bournemouth,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,0.40,0.40,0.41,0.42,0.39,0.42,0.34,0.38,0.44,0.43,0.42,0.38
M,81,Kluivert,7.0,7.0,Bournemouth,69.60,69.60,69.60,69.60,69.60,69.60,69.60,69.60,69.60,69.60,69.60,69.60,4.32,4.06,4.18,4.24,3.83,4.26,3.26,3.75,4.68,4.42,4.23,3.75
M,82,Semenyo,7.4,7.4,Bournemouth,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,4.52,4.34,4.41,4.53,4.05,4.45,3.50,4.01,4.90,4.79,4.43,4.13
M,83,O.Dango,6.0,6.0,Brentford,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,78.15,76.35,3.60,3.95,3.97,3.46,4.03,3.50,3.75,3.83,3.63,4.63,3.07,3.65
M,84,Tavernier,5.5,5.5,Bournemouth,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,3.28,3.21,3.24,3.31,3.05,3.26,2.67,2.98,3.56,3.48,3.28,3.11
M,85,Adams,5.0,5.0,Bournemouth,78.90,78.90,78.90,78.90,78.90,78.90,78.90,78.90,78.90,78.90,78.90,78.90,3.35,3.35,3.29,3.22,3.27,3.33,2.87,3.13,3.43,3.25,3.33,3.19
M,86,Brooks,5.0,5.0,Bournemouth,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,1.77,1.71,1.71,1.80,1.63,1.78,1.47,1.63,1.90,1.85,1.77,1.66
M,87,Christie,5.0,5.0,Bournemouth,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,1.51,1.50,1.47,1.46,1.43,1.50,1.26,1.41,1.56,1.50,1.50,1.40
M,88,Cook,4.9,4.9,Bournemouth,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,0.76,0.76,0.75,0.75,0.74,0.76,0.65,0.71,0.79,0.75,0.76,0.73
M,89,Philip,4.9,4.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,90,Scott,5.0,5.0,Bournemouth,60.90,60.90,60.90,60.90,60.90,60.90,60.90,60.90,60.90,60.90,60.90,60.90,2.93,2.94,2.88,2.88,2.82,3.00,2.47,2.73,3.12,2.94,2.97,2.73
M,91,Sinisterra,5.0,5.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,92,Faivre,4.5,4.5,Bournemouth,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04
M,93,H.Traorè,4.5,4.5,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,94,Sadi,4.5,4.5,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,95,Silcott-Duberry,4.5,4.5,Bournemouth,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
M,96,Winterburn,4.5,4.5,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,97,Evanilson,7.0,7.0,Bournemouth,80.70,80.70,80.70,80.70,80.70,80.70,80.70,80.70,80.70,80.70,80.70,80.70,4.43,4.07,4.09,4.37,3.93,4.31,3.41,3.94,4.74,4.52,4.20,3.90
F,98,Enes Ünal,5.5,5.5,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,99,Adu-Adjei,4.4,4.4,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,100,Kroupi.Jr,4.5,4.5,Bournemouth,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,1.24,1.15,1.21,1.22,1.11,1.22,1.01,1.13,1.31,1.27,1.18,1.13
G,101,Kelleher,4.5,4.5,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.49,2.74,3.08,2.34,2.98,2.29,2.85,2.65,2.32,3.83,1.87,2.44
G,102,Balcombe,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,103,Cox,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,4.0,4.0,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.04,0.02,0.03
D,106,Collins,5.0,5.0,Brentford,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,3.07,3.45,3.35,2.79,3.69,2.68,3.36,3.27,2.97,4.41,2.36,2.96
D,107,Lewis-Potter,5.0,5.0,Brentford,46.80,46.80,46.80,46.80,46.80,46.80,46.80,46.80,46.80,46.80,46.80,46.80,1.57,1.77,1.72,1.44,1.86,1.39,1.70,1.66,1.52,2.26,1.25,1.52
D,108,Ajer,4.5,4.5,Brentford,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,0.79,0.84,0.84,0.73,0.88,0.74,0.84,0.82,0.78,0.99,0.68,0.78
D,109,Henry,4.5,4.5,Brentford,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,2.01,2.28,2.20,1.81,2.42,1.77,2.22,2.17,1.93,2.99,1.59,1.92
D,110,Kayode,4.5,4.5,Brentford,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,2.39,2.70,2.64,2.09,2.93,2.07,2.65,2.54,2.27,3.68,1.79,2.26
D,111,Pinnock,4.4,4.4,Brentford,10.20,10.20,10.20,10.20,10.20,10.20,10.20,10.20,10.20,10.20,10.20,10.20,0.39,0.42,0.41,0.38,0.43,0.37,0.41,0.41,0.39,0.48,0.35,0.39
D,112,Roerslev,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,113,Van den Berg,4.5,4.5,Brentford,83.40,83.40,83.40,83.40,83.40,83.40,83.40,83.40,83.40,83.40,83.40,83.40,2.96,3.29,3.20,2.71,3.48,2.62,3.25,3.18,2.88,4.13,2.37,2.92
D,114,Arthur,4.0,4.0,Brentford,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
D,115,Fredrick,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
